chi_source,chi_source_name,chi_ul,guide,h20_source,h20_source_name,h20_ul,index,index_str,master_source,master_source_name,master_ul,name,nuclease_source,nuclease_source_name,nuclease_ul,reporter_source,reporter_source_name,reporter_ul,rna_source,rna_source_name,rna_ul,sgrna_source,sgrna_source_name,sgrna_ul
B02,chi 0 B02,4.16666666667e-07,NAG-T1,B03,h20 0 B03,5e-07,60,F01,B22,master 1 B22,3e-06,NAG-T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C01,NAG-T1 rna 0 C01,0.0,C02,NAG-T1 sgrna 0 C02,2e-07
B02,chi 0 B02,4.16666666667e-07,NAG-T1,B03,h20 0 B03,5e-07,61,F02,B22,master 1 B22,3e-06,NAG-T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C01,NAG-T1 rna 0 C01,0.0,C02,NAG-T1 sgrna 0 C02,2e-07
B02,chi 0 B02,4.16666666667e-07,NAG-NT1,B03,h20 0 B03,5e-07,62,F03,B22,master 1 B22,3e-06,NAG-NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C03,NAG-NT1 rna 0 C03,0.0,C04,NAG-NT1 sgrna 0 C04,2e-07
B02,chi 0 B02,4.16666666667e-07,NAG-NT1,B03,h20 0 B03,5e-07,63,F04,B22,master 1 B22,3e-06,NAG-NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C03,NAG-NT1 rna 0 C03,0.0,C04,NAG-NT1 sgrna 0 C04,2e-07
B02,chi 0 B02,4.16666666667e-07,T1-rs0,B03,h20 0 B03,5e-07,64,F05,B22,master 1 B22,3e-06,T1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C05,T1-rs0 rna 0 C05,0.0,C06,T1-rs0 sgrna 0 C06,2e-07
B02,chi 0 B02,4.16666666667e-07,T1-rs0,B03,h20 0 B03,5e-07,65,F06,B22,master 1 B22,3e-06,T1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C05,T1-rs0 rna 0 C05,0.0,C06,T1-rs0 sgrna 0 C06,2e-07
B02,chi 0 B02,4.16666666667e-07,T1-rs1,B03,h20 0 B03,5e-07,66,F07,B22,master 1 B22,3e-06,T1-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C07,T1-rs1 rna 0 C07,0.0,C08,T1-rs1 sgrna 0 C08,2e-07
B02,chi 0 B02,4.16666666667e-07,T1-rs1,B03,h20 0 B03,5e-07,67,F08,B22,master 1 B22,3e-06,T1-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C07,T1-rs1 rna 0 C07,0.0,C08,T1-rs1 sgrna 0 C08,2e-07
B02,chi 0 B02,4.16666666667e-07,NT1-rs0,B03,h20 0 B03,5e-07,68,F09,B22,master 1 B22,3e-06,NT1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C09,NT1-rs0 rna 0 C09,0.0,C10,NT1-rs0 sgrna 0 C10,2e-07
B02,chi 0 B02,4.16666666667e-07,NT1-rs0,B03,h20 0 B03,5e-07,69,F10,B22,master 1 B22,3e-06,NT1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C09,NT1-rs0 rna 0 C09,0.0,C10,NT1-rs0 sgrna 0 C10,2e-07
B02,chi 0 B02,4.16666666667e-07,NT2-rs1,B03,h20 0 B03,5e-07,70,F11,B22,master 1 B22,3e-06,NT2-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C11,NT2-rs1 rna 0 C11,0.0,C12,NT2-rs1 sgrna 0 C12,2e-07
B02,chi 0 B02,4.16666666667e-07,NT2-rs1,B03,h20 0 B03,5e-07,71,F12,B22,master 1 B22,3e-06,NT2-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C11,NT2-rs1 rna 0 C11,0.0,C12,NT2-rs1 sgrna 0 C12,2e-07
B02,chi 0 B02,4.16666666667e-07,gen1,B03,h20 0 B03,5e-07,72,G01,B22,master 1 B22,3e-06,gen1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C13,gen1 rna 0 C13,0.0,C14,gen1 sgrna 0 C14,2e-07
B02,chi 0 B02,4.16666666667e-07,gen1,B03,h20 0 B03,5e-07,73,G02,B22,master 1 B22,3e-06,gen1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C13,gen1 rna 0 C13,0.0,C14,gen1 sgrna 0 C14,2e-07
B02,chi 0 B02,4.16666666667e-07,gen2,B03,h20 0 B03,5e-07,74,G03,C15,master 1 C15,3e-06,gen2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C16,gen2 rna 0 C16,0.0,C17,gen2 sgrna 0 C17,2e-07
B02,chi 0 B02,4.16666666667e-07,gen2,B03,h20 0 B03,5e-07,75,G04,C15,master 2 C15,3e-06,gen2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C16,gen2 rna 0 C16,0.0,C17,gen2 sgrna 0 C17,2e-07
B02,chi 0 B02,4.16666666667e-07,gen3,B03,h20 0 B03,5e-07,76,G05,C15,master 2 C15,3e-06,gen3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C18,gen3 rna 0 C18,0.0,C19,gen3 sgrna 0 C19,2e-07
B02,chi 0 B02,4.16666666667e-07,gen3,B03,h20 0 B03,5e-07,77,G06,C15,master 2 C15,3e-06,gen3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C18,gen3 rna 0 C18,0.0,C19,gen3 sgrna 0 C19,2e-07
B02,chi 0 B02,4.16666666667e-07,gen4,B03,h20 0 B03,5e-07,78,G07,C15,master 2 C15,3e-06,gen4 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C20,gen4 rna 0 C20,0.0,C21,gen4 sgrna 0 C21,2e-07
B02,chi 0 B02,4.16666666667e-07,gen4,B03,h20 0 B03,5e-07,79,G08,C15,master 2 C15,3e-06,gen4 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C20,gen4 rna 0 C20,0.0,C21,gen4 sgrna 0 C21,2e-07
B02,chi 0 B02,4.16666666667e-07,gen5,B03,h20 0 B03,5e-07,80,G09,C15,master 2 C15,3e-06,gen5 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C22,gen5 rna 0 C22,0.0,C23,gen5 sgrna 0 C23,2e-07
B02,chi 0 B02,4.16666666667e-07,gen5,B03,h20 0 B03,5e-07,81,G10,C15,master 2 C15,3e-06,gen5 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C22,gen5 rna 0 C22,0.0,C23,gen5 sgrna 0 C23,2e-07
B02,chi 0 B02,4.16666666667e-07,gen6,B03,h20 0 B03,5e-07,82,G11,C15,master 2 C15,3e-06,gen6 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C24,gen6 rna 0 C24,0.0,D01,gen6 sgrna 0 D01,2e-07
B02,chi 0 B02,4.16666666667e-07,gen6,B03,h20 0 B03,5e-07,83,G12,C15,master 2 C15,3e-06,gen6 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,C24,gen6 rna 0 C24,0.0,D01,gen6 sgrna 0 D01,2e-07
B02,chi 0 B02,4.16666666667e-07,gen7,B03,h20 0 B03,5e-07,84,H01,C15,master 2 C15,3e-06,gen7 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,D02,gen7 rna 0 D02,0.0,D03,gen7 sgrna 0 D03,2e-07
B02,chi 0 B02,4.16666666667e-07,gen7,B03,h20 0 B03,5e-07,85,H02,C15,master 2 C15,3e-06,gen7 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,D02,gen7 rna 0 D02,0.0,D03,gen7 sgrna 0 D03,2e-07
B02,chi 0 B02,4.16666666667e-07,gen8,B03,h20 0 B03,5e-07,86,H03,C15,master 2 C15,3e-06,gen8 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,D04,gen8 rna 0 D04,0.0,D05,gen8 sgrna 0 D05,2e-07
B02,chi 0 B02,4.16666666667e-07,gen8,B03,h20 0 B03,5e-07,87,H04,C15,master 2 C15,3e-06,gen8 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,D04,gen8 rna 0 D04,0.0,D05,gen8 sgrna 0 D05,2e-07
B02,chi 0 B02,4.16666666667e-07,gen9,B03,h20 0 B03,5e-07,88,H05,C15,master 2 C15,3e-06,gen9 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,D06,gen9 rna 0 D06,0.0,D07,gen9 sgrna 0 D07,2e-07
B02,chi 0 B02,4.16666666667e-07,gen9,B03,h20 0 B03,5e-07,89,H06,C15,master 2 C15,3e-06,gen9 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,D06,gen9 rna 0 D06,0.0,D07,gen9 sgrna 0 D07,2e-07
B02,chi 0 B02,4.16666666667e-07,gen10,B03,h20 0 B03,5e-07,90,H07,D08,master 2 D08,3e-06,gen10 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,D09,gen10 rna 0 D09,0.0,D10,gen10 sgrna 0 D10,2e-07
B02,chi 0 B02,4.16666666667e-07,gen10,B03,h20 0 B03,5e-07,91,H08,D08,master 3 D08,3e-06,gen10 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,D09,gen10 rna 0 D09,0.0,D10,gen10 sgrna 0 D10,2e-07
